# Ray tracer
# Kernel benchmarks on Tesla T10
#
# Edge size, Repa -N8 (ms), Accelerate (ms)
256	9.534766	4.3807
512	36.09197	40.575
768	77.55671	117.80
1024	128.2851	152.30
1536	295.5286	467.69
2048	503.2801	1048.52
3072	1205.112	2950.98
4096	2027.761	5783.42

