# K-means runtimes (ms), per iteration.
#
# Points, iterations, Accelerate, Accelerate (+sharing), Accelerate (+fusion), Eval, MonadPar, MonadPar (Divide & Conquer), Eval (Divide & Conquer)
#
4974   37 0.0744207737148914 0.0708751987281399 0.0711383147853736 9.73287297297297 10.6664189189189 2.16724          3.97858918918919
15071  33 0.155768270944742  0.149435828877005  0.162048722519311  11.0547575757576 10.5974272727273 4.73259696969697 7.83358181818182
25754  81 0.217444686516582  0.20618373275236   0.269164124909223  13.8968024691358 12.8203580246914 6.95775555555556 11.3903703703704
36240  53 0.296499075101739  0.281127081021088  0.369486311505734  16.8119132075472 14.7325962264151 9.23190188679245 13.7812962264151
42633  11 0.342176559714795  0.325641176470588  0.433914081996435  16.4187272727273 14.3995363636364 8.76084272727273 13.397
53183  12 0.405491013071895  0.386542565359477  0.52905637254902   18.7933          15.9193666666667 10.8355583333333 17.1087
61539  81 0.472808036794965  0.445580367949649  0.606980634229     23.4412098765432 20.055           14.6920987654321 20.4533703703704
76966  29 0.589307640297498  0.559581135902637  0.76485970250169   26.0040620689655 23.6257931034483 18.0745          24.8500896551724
87327  61 0.648515429122469  0.613416907746705  0.850610736097718  30.278868852459  25.3703114754098 20.6621639344262 27.4807868852459
91050  86 0.678236320109439  0.643541837665299  0.888875512995896  31.7702674418605 26.696976744186  21.0138837209302 28.3595465116279
102456 53 0.773372549019608  0.7314256381798    1.01045560488346   36.1133962264151 29.5050377358491 24.6598301886792 32.9049056603774
