# tesla.crest.iu.edu.au
# Tesla K40c: compute capability 3.5, 2880 cores in 15 multiprocessors @ 745 MHz
#
# N     Accelerate      … + sharing             … + fusion              CUDA
5       0               0.230812                0.149492333333333       0.0867114803921569
10      0               0.250502355072464       0.161073188405797       0.0890123642495784
15      0               0.291974483596598       0.191150668286756       0.113664964125561
20      0               0.407796858638743       0.26444502617801        0.169533443804035
25      0               0.623226755218216       0.426944022770399       0.267353939130435
30      0               0.962870175438596       0.68609298245614        0.380439509615385
35      0               1.45339361702128        1.05827414075286        0.570936225878833
40      0               2.07561776061776        1.49429189189189        0.814348272535211
45      0               2.87454959588538        2.08813445995591        1.105958
