# Fluid flow, kernel runtimes only (ms)
#
# Size, Accelerate, Accelerate (+sharing), Repa, C (Gauss-Seidel), C (Jacobi)
96	1.870241	1.816726	14.95	        12.72	        5.34
128	3.282492	3.180868	19.54	        22.82	        9.62
192	4.71007	        4.49956	        32.2	        53.83	        34.64
256	7.22032	        6.87665	        49.37	        96.54	        72.97
384	15.97847	15.22212	116.19	        229.91	        203.38
512	26.07538	24.73215	162.02	        433.34	        432.37
768	58.1156	        55.0429	        291.87	        1124.21	        1368.97
1024	97.4319	        92.002	        576.58	        2329.26	        2945.54
1536	220.8669	208.5138	974.38	        5461.36	        7095.26
